A,B
564,7
565,7
600,7
611,7
634,7
635,7
660,7
676,7
679,7
758,7
806,7
101,8
109,8
122,8
171,8
174,8
180,8
194,8
247,8
288,8
310,8
325,8
421,8
425,8
466,8
467,8
506,8
566,8
567,8
636,8
637,8
662,8
695,8
699,8
708,8
712,8
714,8
725,8
762,8
809,8
825,8
211,9
231,9
232,9
309,9
319,9
334,9
353,9
360,9
368,9
418,9
429,9
430,9
442,9
443,9
475,9
484,9
508,9
544,9
588,9
638,9
639,9
674,9
677,9
684,9
713,9
724,9
742,9
774,9
796,9
798,9
7,10
52,10
53,10
83,10
126,10
172,10
221,10
241,10
257,10
261,10
284,10
299,10
307,10
315,10
394,10
424,10
436,10
463,10
481,10
488,10
510,10
517,10
519,10
535,10
545,10
551,10
552,10
557,10
558,10
595,10
640,10
641,10
680,10
682,10
704,10
720,10
735,10
757,10
780,10
807,10
55,11
56,11
57,11
61,11
110,11
127,11
128,11
145,11
152,11
190,11
240,11
250,11
291,11
308,11
323,11
330,11
346,11
352,11
362,11
392,11
401,11
453,11
487,11
503,11
518,11
534,11
592,11
594,11
618,11
642,11
643,11
664,11
697,11
710,11
730,11
733,11
745,11
765,11
812,11
818,11
22,12
71,12
72,12
73,12
75,12
76,12
78,12
79,12
80,12
147,12
178,12
202,12
235,12
275,12
302,12
312,12
320,12
331,12
338,12
345,12
348,12
388,12
402,12
412,12
437,12
438,12
447,12
452,12
465,12
520,12
532,12
536,12
538,12
571,12
572,12
580,12
596,12
644,12
645,12
668,12
669,12
670,12
688,12
738,12
773,12
778,12
779,12
785,12
788,12
803,12
816,12
9,13
84,13
85,13
86,13
87,13
192,13
209,13
268,13
344,13
351,13
393,13
422,13
435,13
451,13
486,13
521,13
527,13
528,13
550,13
559,13
569,13
570,13
582,13
598,13
602,13
604,13
609,13
646,13
647,13
658,13
700,13
716,13
719,13
721,13
729,13
732,13
734,13
759,13
804,13
819,13
60,14
93,14
94,14
95,14
96,14
97,14
100,14
112,14
113,14
115,14
133,14
134,14
138,14
149,14
156,14
243,14
248,14
271,14
272,14
277,14
285,14
286,14
295,14
296,14
322,14
326,14
347,14
354,14
356,14
357,14
361,14
375,14
377,14
379,14
384,14
385,14
391,14
427,14
428,14
433,14
461,14
470,14
471,14
472,14
473,14
477,14
478,14
485,14
500,14
502,14
505,14
531,14
540,14
593,14
648,14
649,14
678,14
683,14
689,14
703,14
706,14
711,14
722,14
723,14
736,14
769,14
797,14
821,14
826,14
8,15
54,15
58,15
59,15
62,15
114,15
181,15
196,15
258,15
301,15
329,15
333,15
419,15
420,15
423,15
524,15
549,15
553,15
554,15
556,15
573,15
650,15
651,15
665,15
694,15
739,15
763,15
813,15
824,15
82,16
200,16
225,16
239,16
337,16
349,16
406,16
407,16
434,16
459,16
460,16
525,16
530,16
652,16
653,16
687,16
691,16
692,16
728,16
744,16
768,16
784,16
795,16
799,16
820,16
44,17
168,17
185,17
228,17
242,17
251,17
259,17
260,17
262,17
269,17
282,17
289,17
313,17
371,17
372,17
373,17
374,17
386,17
389,17
399,17
400,17
415,17
417,17
464,17
468,17
492,17
511,17
539,17
555,17
575,17
576,17
621,17
654,17
655,17
663,17
675,17
681,17
693,17
696,17
737,17
746,17
772,17
793,17
808,17
817,17
822,17
186,18
204,18
236,18
574,18
577,18
578,18
579,18
581,18
583,18
584,18
585,18
587,18
597,18
601,18
605,18
608,18
617,18
656,18
657,18
666,18
698,18
705,18
717,18
726,18
740,18
767,18
789,18
790,18
802,18
10001,10002
10002,10002
10003,10002
10004,10002
10005,10002
10006,10002
10007,10002
10008,10002
10009,10002
10010,10002
10011,10002
10012,10002
10013,10002
10014,10002
10015,10002
10016,10002
10017,10002
10018,10002
